Timestamp,ES_Trade Close,ES_Trade Volume,HI_Trade Close,HI_Trade Volume,NQ_Trade Close,NQ_Trade Volume,VIX_Trade Close,VIX_Trade Volume
01/12/2020 04:10,3616.5,12956,#N/A,#N/A,12278,3716,22.55,329
01/12/2020 04:15,3614,12982,#N/A,#N/A,12271,3250,22.62,454
01/12/2020 04:20,3618.5,10892,#N/A,#N/A,12279.75,2536,22.55,194
01/12/2020 04:25,3619.25,6740,#N/A,#N/A,12278,1705,22.55,270
01/12/2020 04:30,3613,10538,#N/A,#N/A,12252.5,3691,22.65,280
01/12/2020 04:35,3615.5,13162,#N/A,#N/A,12260,2931,22.61,426
01/12/2020 04:40,3616,12040,#N/A,#N/A,12266.25,2942,22.61,530
01/12/2020 04:45,3615,12321,#N/A,#N/A,12257.75,5693,22.65,546
01/12/2020 04:50,3616.5,21861,#N/A,#N/A,12260.5,4165,22.56,706
01/12/2020 04:55,3619,44654,#N/A,#N/A,12263.5,6949,22.47,975
01/12/2020 05:00,3623.75,177168,#N/A,#N/A,12281,17602,22.4,3481
01/12/2020 05:05,3625.75,97659,#N/A,#N/A,12298,9449,22.46,1327
01/12/2020 05:10,3629,17450,#N/A,#N/A,12304,3435,22.45,657
01/12/2020 05:15,3628.75,10483,#N/A,#N/A,12296.75,2092,22.5,600
01/12/2020 05:35,3629.25,2478,#N/A,#N/A,12302.75,602,22.5,90
01/12/2020 05:40,3630.25,1279,#N/A,#N/A,12306.5,432,22.5,49
01/12/2020 05:45,3631,1099,#N/A,#N/A,12308.75,327,22.45,20
01/12/2020 05:50,3632.25,1415,#N/A,#N/A,12311.5,369,22.45,25
01/12/2020 05:55,3632,1878,#N/A,#N/A,12313.5,694,22.45,5
01/12/2020 06:00,3632.5,1896,#N/A,#N/A,12319.25,463,22.5,38
01/12/2020 07:05,3627,3951,#N/A,#N/A,12323.25,1659,22.5,15
01/12/2020 07:10,3627.5,1372,#N/A,#N/A,12324.75,343,22.55,51
01/12/2020 07:15,3628.75,1104,#N/A,#N/A,12325.25,342,22.5,4
01/12/2020 07:20,3627.5,727,#N/A,#N/A,12321.75,290,22.55,11
01/12/2020 07:25,3627,757,#N/A,#N/A,12320,338,22.55,2
01/12/2020 07:30,3626.5,943,#N/A,#N/A,12316.5,314,22.55,5
01/12/2020 07:35,3631.75,1841,#N/A,#N/A,12326.25,847,22.5,23
01/12/2020 07:40,3632.5,1046,#N/A,#N/A,12329.5,501,22.49,4
01/12/2020 07:45,3636.5,2038,#N/A,#N/A,12336.5,478,22.4,31
01/12/2020 07:50,3637.75,1860,#N/A,#N/A,12344.25,776,22.44,4
01/12/2020 07:55,3638.75,2552,#N/A,#N/A,12345,553,22.43,6
01/12/2020 08:00,3639,1319,#N/A,#N/A,12350.25,517,22.4,32
01/12/2020 08:05,3640,2806,#N/A,#N/A,12354.25,1036,22.33,75
01/12/2020 08:10,3640.5,1829,#N/A,#N/A,12354,542,22.31,34
01/12/2020 08:15,3640,1370,#N/A,#N/A,12353.5,508,22.31,41
01/12/2020 08:20,3640,1240,#N/A,#N/A,12354,289,22.3,1
01/12/2020 08:25,3639.25,977,#N/A,#N/A,12350.75,307,22.35,3
01/12/2020 08:30,3640.25,386,#N/A,#N/A,12353.25,133,22.35,15
01/12/2020 08:35,3640,440,#N/A,#N/A,12354.5,226,22.33,6
01/12/2020 08:40,3642.25,1211,#N/A,#N/A,12361.5,636,22.3,27
01/12/2020 08:45,3642.75,664,#N/A,#N/A,12363,451,22.31,14
01/12/2020 08:50,3641.75,721,#N/A,#N/A,12356.5,319,#N/A,#N/A
01/12/2020 08:55,3643,1109,#N/A,#N/A,12358.25,207,22.3,6
01/12/2020 09:00,3645,2281,#N/A,#N/A,12365.5,402,22.25,58
01/12/2020 09:05,3646.75,2510,#N/A,#N/A,12377.75,908,22.25,26
01/12/2020 09:10,3646,1682,#N/A,#N/A,12376,545,22.25,5
01/12/2020 09:15,3645.75,937,#N/A,#N/A,12374.5,289,22.2,6
01/12/2020 09:20,3645.5,1670,26447,2670,12370.75,506,22.2,14
01/12/2020 09:25,3645.75,789,26456,933,12371.75,208,22.2,4
01/12/2020 09:30,3646,801,26475,782,12371.5,152,22.23,6
01/12/2020 09:35,3646.25,1296,26416,3666,12370.25,320,22.2,7
01/12/2020 09:40,3645.25,1210,26396,2878,12368,326,22.2,2
01/12/2020 09:45,3646.5,1279,26462,2083,12370.75,393,22.2,33
01/12/2020 09:50,3647.5,649,26464,1597,12378,352,22.15,16
01/12/2020 09:55,3648,1012,26449,1784,12378.75,610,22.15,5
01/12/2020 10:00,3648.5,457,26453,1815,12377.25,236,22.15,6
01/12/2020 10:05,3649.5,1266,26462,1821,12384,505,22.15,37
01/12/2020 10:10,3652.5,2759,26471,1221,12389.5,891,22.1,88
01/12/2020 10:15,3652.75,1351,26496,2166,12388.25,465,22.05,29
01/12/2020 10:20,3653.5,1025,26511,1666,12388.5,417,22,26
01/12/2020 10:25,3653,858,26493,1110,12385.25,423,22.01,15
01/12/2020 10:30,3654.25,1038,26503,956,12384,281,22,15
01/12/2020 10:35,3654.25,1917,26489,952,12383.25,440,22.05,91
01/12/2020 10:40,3652.25,1550,26504,828,12379.25,474,22.07,13
01/12/2020 10:45,3652.25,443,26499,1008,12379,184,22.05,10
01/12/2020 10:50,3653.25,530,26506,1337,12380.25,135,22.05,22
01/12/2020 10:55,3655.25,926,26539,1148,12385.5,364,22,4
01/12/2020 11:00,3654,940,26531,1028,12381.75,219,22,6
01/12/2020 11:05,3654.75,644,26554,1311,12382.25,243,22,3
01/12/2020 11:10,3655.25,675,26556,1029,12385,161,22,3
01/12/2020 11:15,3655,453,26574,1096,12385.5,126,22,2
01/12/2020 11:20,3658,1616,26582,1405,12394.5,669,21.93,106
01/12/2020 11:25,3657.5,2317,26576,2040,12392,962,22,31
01/12/2020 11:30,3657.5,588,26584,1267,12389.75,234,21.98,4
01/12/2020 11:35,3656.5,756,26590,773,12388.25,281,21.95,6
01/12/2020 11:40,3656,726,26627,1239,12386.25,265,21.95,2
01/12/2020 11:45,3657,561,26607,954,12386,229,21.95,2
01/12/2020 11:50,3655.75,668,26575,979,12384.25,227,22,19
01/12/2020 11:55,3655,610,26578,652,12383.75,137,22,4
01/12/2020 12:00,3654.75,420,26587,727,12382.75,72,22,4
01/12/2020 12:05,3655,260,#N/A,#N/A,12381.75,118,#N/A,#N/A
01/12/2020 12:10,3655.25,265,#N/A,#N/A,12381.5,153,#N/A,#N/A
01/12/2020 12:15,3655.5,412,#N/A,#N/A,12381.25,129,22.03,1
01/12/2020 12:20,3657,691,#N/A,#N/A,12386.25,294,22,55
01/12/2020 12:25,3656.5,458,#N/A,#N/A,12384.5,103,#N/A,#N/A
01/12/2020 12:30,3655,378,#N/A,#N/A,12381.25,215,22.05,3
01/12/2020 12:35,3654,655,#N/A,#N/A,12378.25,220,#N/A,#N/A
01/12/2020 12:40,3653.5,776,#N/A,#N/A,12373.75,394,#N/A,#N/A
01/12/2020 12:45,3653.75,426,#N/A,#N/A,12374.25,207,#N/A,#N/A
01/12/2020 12:50,3652.75,330,#N/A,#N/A,12375.25,209,#N/A,#N/A
01/12/2020 12:55,3653,320,#N/A,#N/A,12375.75,121,#N/A,#N/A
01/12/2020 13:00,3652.75,370,#N/A,#N/A,12374.25,125,#N/A,#N/A
01/12/2020 13:05,3652.75,797,26586,996,12376.25,327,#N/A,#N/A
01/12/2020 13:10,3652.5,916,26568,1209,12373,168,22.05,15
01/12/2020 13:15,3654.75,705,26593,746,12377,173,22.05,2
01/12/2020 13:20,3655,481,26617,810,12378.5,143,22.05,6
01/12/2020 13:25,3655.25,663,26618,889,12379,195,22,3
01/12/2020 13:30,3654.75,636,26598,825,12377.25,130,22.03,7
01/12/2020 13:35,3654.75,406,26620,629,12379.75,112,22.05,43
01/12/2020 13:40,3652.75,704,26639,1577,12376.25,382,22.05,24
01/12/2020 13:45,3653.5,804,26648,669,12377.5,204,22,4
01/12/2020 13:50,3653,280,26626,858,12376.5,59,22.05,3
01/12/2020 13:55,3653.75,400,26633,674,12379.5,76,22.03,3
01/12/2020 14:00,3653.75,345,26625,597,12380.75,72,#N/A,#N/A
01/12/2020 14:05,3654.5,309,26613,698,12381.5,175,22.03,11
01/12/2020 14:10,3653.25,357,26598,1073,12378.25,107,22.05,1
01/12/2020 14:15,3652.75,483,26589,638,12375.5,93,#N/A,#N/A
01/12/2020 14:20,3652.75,626,26599,780,12373.75,178,22.06,1
01/12/2020 14:25,3653.5,305,26596,937,12376,86,#N/A,#N/A
01/12/2020 14:30,3654.5,506,26609,1068,12380.75,193,22.05,6
01/12/2020 14:35,3653.5,725,26596,873,12378,164,22.05,8
01/12/2020 14:40,3653.25,281,26595,701,12380.5,80,22.04,2
01/12/2020 14:45,3652.5,250,26571,705,12377,181,22.04,2
01/12/2020 14:50,3653,490,26571,741,12383,167,22.05,1
01/12/2020 14:55,3652.75,401,26560,484,12382,144,22,20
01/12/2020 15:00,3653.25,194,26563,499,12386.5,236,#N/A,#N/A
01/12/2020 15:05,3656.5,1224,26583,915,12397.5,755,22,20
01/12/2020 15:10,3653.75,982,26564,744,12391,632,22.1,13
01/12/2020 15:15,3653,871,26572,419,12391,448,22.05,11
01/12/2020 15:20,3654,564,26560,476,12393.5,234,22.05,2
01/12/2020 15:25,3652.75,717,26564,409,12391.25,175,22.05,34
01/12/2020 15:30,3652.75,560,26559,873,12394,238,22.1,6
01/12/2020 15:35,3653.5,570,26546,625,12395.25,307,22.1,26
01/12/2020 15:40,3653.75,775,26523,860,12394.75,295,22.1,37
01/12/2020 15:45,3653.5,473,26516,945,12392,222,22.1,1
01/12/2020 15:50,3653.75,701,26501,831,12390.25,214,22.1,4
01/12/2020 15:55,3652.75,606,26488,1284,12385.25,279,22.1,11
01/12/2020 16:00,3653.25,936,26511,1158,12387.75,173,22.1,12
01/12/2020 16:05,3651,4565,26503,1033,12376.5,876,22.15,79
01/12/2020 16:10,3650,2977,26553,1993,12363.5,1314,22.15,48
01/12/2020 16:15,3648,2615,26520,1106,12355.75,994,22.25,89
01/12/2020 16:20,3651.5,3026,26542,768,12363,1034,22.18,142
01/12/2020 16:25,3653.25,1877,26559,770,12369.75,876,22.15,13
01/12/2020 16:30,3654.25,2052,26589,1454,12375.75,923,22.09,82
01/12/2020 16:35,3656.75,4252,#N/A,#N/A,12370.25,1157,22.05,141
01/12/2020 16:40,3659.5,2798,#N/A,#N/A,12375.75,715,22.05,9
01/12/2020 16:45,3658,2544,#N/A,#N/A,12373,442,22.1,31
01/12/2020 16:50,3656.75,1229,#N/A,#N/A,12371.25,520,22.08,33
01/12/2020 16:55,3656.25,1325,#N/A,#N/A,12359.25,754,22.1,14
01/12/2020 17:00,3656.5,1220,#N/A,#N/A,12362.25,938,22.1,47
01/12/2020 17:05,3657.75,1471,#N/A,#N/A,12370.75,597,22.1,33
01/12/2020 17:10,3657.75,1267,#N/A,#N/A,12369.5,419,22.15,52
01/12/2020 17:15,3657.5,1141,#N/A,#N/A,12368.25,316,22.12,7
01/12/2020 17:20,3658.75,1505,26586,337,12368,386,22.11,9
01/12/2020 17:25,3659.25,1063,26577,187,12368,193,22.11,6
01/12/2020 17:30,3663,3122,26599,208,12376,693,22.1,51
01/12/2020 17:35,3657.5,2188,26584,189,12363,651,22.17,105
01/12/2020 17:40,3659,1858,26585,150,12365.75,320,22.11,33
01/12/2020 17:45,3658.75,2818,26572,230,12371.75,583,22.14,43
01/12/2020 17:50,3658,1152,26572,123,12369.75,440,22.16,12
01/12/2020 17:55,3659.5,602,26580,128,12372.75,289,22.14,4
01/12/2020 18:00,3658.5,719,26580,89,12367.25,247,22.14,41
01/12/2020 18:05,3658,983,26577,62,12362.75,315,22.14,15
01/12/2020 18:10,3657.75,626,26574,56,12359,221,22.14,15
01/12/2020 18:15,3659.5,852,26575,77,12370.75,348,22.11,4
01/12/2020 18:20,3660.5,917,26585,127,12373.75,559,22.09,10
01/12/2020 18:25,3660,1482,26575,127,12371.5,218,22.07,6
01/12/2020 18:30,3660,507,26582,111,12371.25,228,22.09,36
01/12/2020 18:35,3659.5,782,26571,65,12369.5,320,22.1,38
01/12/2020 18:40,3658.25,944,26553,143,12368.5,281,22.15,56
